STATE,SALES_MONTH,TOTAL_DOLLARS
Nunavut,2023-07-01,593399.11
Maine,2023-07-01,43552524.36
Maryland,2023-07-01,88041178.15
Delaware,2023-07-01,3354810.47
Iowa,2023-07-01,1217308.61
Yukon,2023-07-01,1204093.88
West Virginia,2023-07-01,6353106.86
Nova Scotia,2023-07-01,38554.06
Northern Mariana Islands,2023-07-01,0.00
District of Columbia,2023-08-01,2903064.04
Vermont,2023-08-01,10459503.45
South Dakota,2023-08-01,4353047.10
Arizona,2023-08-01,110166444.11
Saskatchewan,2023-08-01,13369100.37
Oklahoma,2023-08-01,126521780.53
Georgia,2023-08-01,534559.50
New Brunswick,2023-08-01,1791786.78
South Carolina,2023-08-01,0.00
Delaware,2023-08-01,3118334.69
Texas,2023-08-01,910170.21
Oregon,2023-08-01,83477151.54
Rhode Island,2023-08-01,6732934.84
British Columbia,2023-08-01,76861721.94
Northern Mariana Islands,2023-08-01,0.00
Maine,2023-08-01,45515750.52
Yukon,2023-08-01,1296662.16
Illinois,2023-08-01,136512260.50
Nova Scotia,2023-08-01,40673.08
New Jersey,2023-08-01,61972542.79
Newfoundland and Labrador,2023-08-01,4627872.78
Puerto Rico,2023-08-01,67816976.20
New York,2023-08-01,24604326.35
Hawaii,2023-08-01,2963858.70
Connecticut,2023-08-01,25099270.01
Utah,2023-08-01,10190047.00
New Hampshire,2023-08-01,1040901.06
Virginia,2023-08-01,12109053.96
Ontario,2023-08-01,201760212.67
Missouri,2023-08-01,119928682.91
Maryland,2023-08-01,92193798.99
Pennsylvania,2023-08-01,94509392.97
Mississippi,2023-08-01,6790386.55
Louisiana,2023-08-01,3014907.71
Michigan,2023-08-01,277932726.60
Arkansas,2023-08-01,24641383.67
New Mexico,2023-08-01,48753176.89
North Dakota,2023-08-01,1452639.21
Alberta,2023-08-01,75533425.27
Iowa,2023-08-01,1249210.02
Alaska,2023-08-01,20133910.63
Massachusetts,2023-08-01,160015712.56
Nunavut,2023-08-01,671393.49
Ohio,2023-08-01,41647842.58
Washington,2023-08-01,86472937.91
Minnesota,2023-08-01,4134166.36
Colorado,2023-08-01,133870024.22
Nevada,2023-08-01,71658222.33
Montana,2023-08-01,30151047.53
California,2023-08-01,372097015.01
Florida,2023-08-01,146923324.92
Manitoba,2023-08-01,14353435.75
West Virginia,2023-08-01,6356746.48
Michigan,2023-09-01,276363077.29
New York,2023-09-01,25074330.72
Northern Mariana Islands,2023-09-01,0.00
Montana,2023-09-01,29380243.80
Arizona,2023-09-01,112214853.43
Illinois,2023-09-01,138535098.81
California,2023-09-01,362345610.31
Oregon,2023-09-01,82307120.33
Georgia,2023-09-01,574223.76
North Dakota,2023-09-01,1384450.01
Maine,2023-09-01,42921173.26
District of Columbia,2023-09-01,2674498.07
New Mexico,2023-09-01,47637446.25
Utah,2023-09-01,10826441.69
Puerto Rico,2023-09-01,63070655.24
West Virginia,2023-09-01,6626391.52
Alaska,2023-09-01,18768786.51
Nunavut,2023-09-01,743748.38
Oklahoma,2023-09-01,126887968.38
South Dakota,2023-09-01,4657043.35
Ontario,2023-09-01,195634279.71
New Jersey,2023-09-01,63646724.34
